#E_pot  E_kin  T  P_ideal P_virial
-4.973603e-04 7.385900e+02 2.961065e+02 8.176383e+02 8.176367e+02
-5.037291e-04 7.385314e+02 2.960830e+02 8.175735e+02 8.175718e+02
-5.250750e-04 7.205270e+02 2.888650e+02 7.976422e+02 7.976405e+02
-5.333808e-04 7.156819e+02 2.869225e+02 7.922785e+02 7.922767e+02
-5.453613e-04 7.081879e+02 2.839181e+02 7.839824e+02 7.839806e+02
-5.577398e-04 7.051120e+02 2.826849e+02 7.805773e+02 7.805755e+02
-5.750636e-04 7.409192e+02 2.970403e+02 8.202168e+02 8.202149e+02
-5.743660e-04 7.213293e+02 2.891866e+02 7.985303e+02 7.985284e+02
-5.434926e-04 7.248020e+02 2.905788e+02 8.023747e+02 8.023729e+02
-5.497465e-04 7.500023e+02 3.006818e+02 8.302721e+02 8.302703e+02
-5.880017e-04 7.097410e+02 2.845407e+02 7.857018e+02 7.856998e+02
-6.441129e-04 7.064483e+02 2.832207e+02 7.820567e+02 7.820546e+02
-7.037730e-04 7.142401e+02 2.863445e+02 7.906824e+02 7.906801e+02
-7.410249e-04 7.403693e+02 2.968198e+02 8.196081e+02 8.196056e+02
-7.407597e-04 7.183946e+02 2.880100e+02 7.952816e+02 7.952791e+02
-7.065429e-04 7.189159e+02 2.882190e+02 7.958586e+02 7.958562e+02
-6.676905e-04 6.854927e+02 2.748194e+02 7.588583e+02 7.588560e+02
-6.371854e-04 6.820269e+02 2.734299e+02 7.550215e+02 7.550194e+02
-6.032916e-04 6.765016e+02 2.712148e+02 7.489049e+02 7.489029e+02
-5.316274e-04 6.687668e+02 2.681138e+02 7.403422e+02 7.403405e+02
-4.617631e-04 6.673368e+02 2.675405e+02 7.387592e+02 7.387576e+02
-4.297190e-04 7.093013e+02 2.843645e+02 7.852150e+02 7.852136e+02
-4.079090e-04 7.393176e+02 2.963982e+02 8.184438e+02 8.184425e+02
-3.721429e-04 7.094193e+02 2.844118e+02 7.853457e+02 7.853444e+02
-3.376213e-04 7.029826e+02 2.818312e+02 7.782201e+02 7.782189e+02
-3.128024e-04 7.025475e+02 2.816568e+02 7.777384e+02 7.777374e+02
-2.991391e-04 6.975910e+02 2.796697e+02 7.722515e+02 7.722505e+02
-2.978263e-04 7.057489e+02 2.829403e+02 7.812824e+02 7.812814e+02
-2.957842e-04 7.081654e+02 2.839091e+02 7.839575e+02 7.839566e+02
-2.766012e-04 7.165262e+02 2.872610e+02 7.932132e+02 7.932123e+02
-2.514777e-04 7.429987e+02 2.978740e+02 8.225189e+02 8.225181e+02
-2.412553e-04 7.421667e+02 2.975405e+02 8.215979e+02 8.215971e+02
-2.453714e-04 7.371673e+02 2.955361e+02 8.160634e+02 8.160626e+02
-2.526830e-04 7.111996e+02 2.851255e+02 7.873165e+02 7.873156e+02
-2.669123e-04 7.420387e+02 2.974891e+02 8.214561e+02 8.214552e+02
-2.896513e-04 7.575696e+02 3.037156e+02 8.386493e+02 8.386484e+02
-3.116237e-04 7.804343e+02 3.128822e+02 8.639611e+02 8.639601e+02
-3.501562e-04 7.398396e+02 2.966075e+02 8.190217e+02 8.190206e+02
-4.290168e-04 7.448500e+02 2.986162e+02 8.245684e+02 8.245669e+02
-5.211748e-04 7.976076e+02 3.197671e+02 8.829724e+02 8.829707e+02
-5.772437e-04 8.240092e+02 3.303517e+02 9.121996e+02 9.121977e+02
-6.293312e-04 8.333888e+02 3.341121e+02 9.225831e+02 9.225811e+02
-7.200982e-04 8.271317e+02 3.316036e+02 9.156564e+02 9.156540e+02
-8.535915e-04 8.073214e+02 3.236615e+02 8.937258e+02 8.937230e+02
-1.024791e-03 7.824271e+02 3.136812e+02 8.661672e+02 8.661638e+02
-1.195508e-03 7.887584e+02 3.162194e+02 8.731761e+02 8.731721e+02
-1.343598e-03 8.255001e+02 3.309495e+02 9.138501e+02 9.138456e+02
-1.384273e-03 8.202381e+02 3.288399e+02 9.080250e+02 9.080204e+02
-1.300529e-03 7.592275e+02 3.043803e+02 8.404846e+02 8.404803e+02
-1.284659e-03 7.810383e+02 3.131244e+02 8.646297e+02 8.646254e+02
-1.332977e-03 7.899769e+02 3.167079e+02 8.745250e+02 8.745205e+02
-1.273125e-03 7.317688e+02 2.933718e+02 8.100871e+02 8.100828e+02
-1.120975e-03 7.710045e+02 3.091017e+02 8.535220e+02 8.535183e+02
-9.771534e-04 7.667658e+02 3.074024e+02 8.488297e+02 8.488264e+02
-8.402050e-04 7.966957e+02 3.194015e+02 8.819629e+02 8.819601e+02
-7.282962e-04 7.916712e+02 3.173872e+02 8.764007e+02 8.763982e+02
-6.873282e-04 7.685623e+02 3.081226e+02 8.508184e+02 8.508162e+02
-6.587387e-04 7.344794e+02 2.944585e+02 8.130878e+02 8.130856e+02
-6.075638e-04 7.571634e+02 3.035527e+02 8.381996e+02 8.381976e+02
-5.582911e-04 7.572847e+02 3.036014e+02 8.383338e+02 8.383320e+02
-5.045369e-04 7.982378e+02 3.200198e+02 8.836700e+02 8.836683e+02
-4.466330e-04 7.546013e+02 3.025256e+02 8.353633e+02 8.353618e+02
-4.002354e-04 8.110864e+02 3.251709e+02 8.978938e+02 8.978925e+02
-3.679517e-04 8.507904e+02 3.410886e+02 9.418472e+02 9.418459e+02
-3.384758e-04 7.948688e+02 3.186692e+02 8.799405e+02 8.799394e+02
-3.146494e-04 7.821184e+02 3.135574e+02 8.658254e+02 8.658244e+02
-2.815449e-04 7.516544e+02 3.013442e+02 8.321010e+02 8.321001e+02
-2.451710e-04 7.249846e+02 2.906520e+02 8.025768e+02 8.025760e+02
-2.238215e-04 7.217592e+02 2.893589e+02 7.990063e+02 7.990055e+02
-2.134769e-04 7.323353e+02 2.935990e+02 8.107143e+02 8.107135e+02
-2.119972e-04 6.871653e+02 2.754900e+02 7.607099e+02 7.607092e+02
-2.131419e-04 6.870064e+02 2.754263e+02 7.605340e+02 7.605332e+02
-2.118236e-04 6.719876e+02 2.694051e+02 7.439078e+02 7.439071e+02
-2.093832e-04 6.982690e+02 2.799415e+02 7.730020e+02 7.730013e+02
-2.062872e-04 7.227915e+02 2.897728e+02 8.001490e+02 8.001483e+02
-1.992479e-04 7.821963e+02 3.135886e+02 8.659116e+02 8.659110e+02
-1.963512e-04 7.696264e+02 3.085493e+02 8.519965e+02 8.519958e+02
-2.064416e-04 8.138126e+02 3.262639e+02 9.009117e+02 9.009110e+02
-2.167841e-04 7.938690e+02 3.182683e+02 8.788337e+02 8.788329e+02
-2.182790e-04 7.888031e+02 3.162374e+02 8.732256e+02 8.732249e+02
-2.159673e-04 7.971523e+02 3.195846e+02 8.824684e+02 8.824677e+02
-2.252798e-04 8.200387e+02 3.287599e+02 9.078042e+02 9.078034e+02
-2.601929e-04 7.775938e+02 3.117435e+02 8.608166e+02 8.608157e+02
-3.120022e-04 7.612028e+02 3.051722e+02 8.426713e+02 8.426702e+02
-3.613577e-04 7.536232e+02 3.021335e+02 8.342806e+02 8.342794e+02
-4.107431e-04 7.659723e+02 3.070843e+02 8.479513e+02 8.479500e+02
-4.708649e-04 7.914180e+02 3.172857e+02 8.761203e+02 8.761187e+02
-5.359928e-04 7.484341e+02 3.000531e+02 8.285360e+02 8.285342e+02
-5.782432e-04 7.543260e+02 3.024152e+02 8.350586e+02 8.350566e+02
-6.052327e-04 7.729446e+02 3.098796e+02 8.556698e+02 8.556678e+02
-6.597881e-04 7.494679e+02 3.004676e+02 8.296805e+02 8.296783e+02
